City_ID,City,Country,Max Temp,Current description,Lat,Lng,Hotel Name
147,Constitucion,CL,67.19,clear sky,-35.3333,-72.4167,Hotel Boutique Las Azucenas
148,Jalu,LY,64.11,broken clouds,29.0331,21.5482,صاحبة الفخامة
149,Vilhena,BR,68.0,few clouds,-12.7406,-60.1458,Hotel Mirage
150,Touros,BR,84.2,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
155,Caxito,AO,82.4,broken clouds,-8.5785,13.6643,
158,Lorengau,PG,82.69,scattered clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
160,Lima,PE,73.0,clear sky,-12.0432,-77.0282,Gran Hotel Bolivar Lima
163,Port Blair,IN,78.8,scattered clouds,11.6667,92.75,Welcomhotel Bay Island Port Blair
167,Tabira,BR,85.12,overcast clouds,-7.5908,-37.5394,Hotel jembo
169,Tautira,PF,78.8,few clouds,-17.7333,-149.15,Pension Oaoa
170,Hilo,US,69.8,moderate rain,19.7297,-155.09,Hilo Hawaiian Hotel
176,Lebu,CL,61.93,clear sky,-37.6167,-73.65,Hostal Las Lilas
178,Pisco,PE,71.6,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
179,Rio Pardo,BR,75.85,clear sky,-29.9897,-52.3781,Magrelos Mochileiros
185,East London,ZA,73.4,few clouds,-33.0153,27.9116,Tu Casa
187,Acajutla,SV,77.41,clear sky,13.5928,-89.8275,asi es
189,Morondava,MG,87.87,clear sky,-20.2833,44.2833,La Case Bambou
190,Sao Filipe,CV,75.76,overcast clouds,14.8961,-24.4956,Tortuga B&B
191,Kabale,UG,71.98,light rain,-1.2486,29.9899,Kwanzi
193,Huarmey,PE,72.28,overcast clouds,-10.0681,-78.1522,Hotel Miramar
195,Namatanai,PG,80.01,light rain,-3.6667,152.4333,Namatanai Hotel
196,Poum,NC,78.17,moderate rain,-20.2333,164.0167,Gîte kajeon
197,Rabo De Peixe,PT,62.01,light rain,37.8,-25.5833,Quinta das Giestas
199,Bairiki,KI,78.8,light rain,1.3292,172.9752,Tarawa Boutique Hotel
201,Vila Velha,BR,86.0,few clouds,-20.3297,-40.2925,Hotel Vitória Palace
202,Sola,VU,83.03,light rain,-13.8833,167.55,Leumerus Bungalows
204,Port Elizabeth,ZA,73.4,scattered clouds,-33.918,25.5701,39 On Nile Guest House
206,Riyadh,SA,71.6,clear sky,24.6877,46.7219,InterContinental Riyadh
208,Quatre Cocos,MU,86.0,broken clouds,-20.2078,57.7625,Emeraude Beach Attitude Hotel
209,Valparaiso,CL,61.0,fog,-33.0393,-71.6273,Hotel Ultramar
210,Acapulco,MX,73.4,scattered clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
213,Thinadhoo,MV,81.63,broken clouds,0.5333,72.9333,
217,Mehriz,IR,62.6,clear sky,31.5917,54.4318,Mehrgard dwelling/سرای مهرگرد
218,Haimen,CN,62.6,broken clouds,23.1935,116.6142,Jinghao Business Hotel
220,Port Augusta,AU,73.99,clear sky,-32.5,137.7667,Majestic Oasis Apartments
222,Dzaoudzi,YT,86.0,moderate rain,-12.7887,45.2699,Le Rocher
227,Saint-Georges,GD,80.6,light rain,12.0564,-61.7485,Siesta Hotel
228,Port Lincoln,AU,63.25,heavy intensity rain,-34.7333,135.8667,Port Lincoln Hotel
229,Amuntai,ID,76.32,moderate rain,-2.4177,115.2494,Hotel Balqis
230,Kingaroy,AU,71.6,scattered clouds,-26.5333,151.8333,Ascot Lodge Motel Kingaroy
233,Camacupa,AO,79.81,overcast clouds,-12.0167,17.4833,
235,Mufumbwe,ZM,75.92,moderate rain,-13.6833,24.8,
239,Kavieng,PG,82.04,light rain,-2.5744,150.7967,Nusa Island Retreat
241,Chuy,UY,73.94,clear sky,-33.6971,-53.4616,Nuevo Hotel Plaza
243,Cidreira,BR,75.04,clear sky,-30.1811,-50.2056,Hotel Castelo
244,Bilma,NE,76.26,clear sky,18.6853,12.9164,Expeditions Ténére voyages
251,Rocha,UY,79.61,clear sky,-34.4833,-54.3333,Beleza Pura B&B
255,Saldanha,ZA,77.0,scattered clouds,-33.0117,17.9442,Blue Bay Lodge
256,Atambua,ID,74.21,overcast clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
257,Beloha,MG,79.7,overcast clouds,-25.1667,45.05,
258,Bafut,CM,88.95,clear sky,6.0833,10.1,Emmanuel Sisterhood Bafut
259,Bac Lieu,VN,74.79,overcast clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
260,Hirara,JP,66.65,overcast clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
261,Banda Aceh,ID,79.02,light rain,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
262,Saint-Joseph,RE,89.6,broken clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
264,Cayenne,GF,82.4,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
265,Sao Jose Da Coroa Grande,BR,83.08,broken clouds,-8.8978,-35.1478,Crôa Mares Hotel
