City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Lakes Entrance,AU,2021-01-16 21:28:37,-37.8811,147.981,62.01,62,61,1.99
68,Saint-Philippe,RE,2021-01-16 21:28:37,-21.3585,55.7679,80.6,83,75,3.44
69,Kodiak,US,2021-01-16 21:23:57,57.79,-152.4072,37.4,93,90,16.11
70,Kokoda,PG,2021-01-16 21:28:37,-8.8785,147.7407,76.8,71,100,0.51
71,Maniitsoq,GL,2021-01-16 21:28:37,65.4167,-52.9,20.35,88,100,18.79
72,Geraldton,AU,2021-01-16 21:28:37,-28.7667,114.6,80.6,50,90,28.77
73,Thyboron,DK,2021-01-16 21:28:37,56.6985,8.2124,30.0,94,100,3.0
74,Mansa,IN,2021-01-16 21:28:37,29.9833,75.3833,47.98,52,0,1.41
75,Albany,US,2021-01-16 21:28:37,42.6001,-73.9662,37.99,77,100,1.01
76,Nanortalik,GL,2021-01-16 21:28:37,60.1432,-45.2371,22.91,94,24,5.06
77,Tuktoyaktuk,CA,2021-01-16 21:28:37,69.4541,-133.0374,-2.2,84,90,10.36
78,Chegdomyn,RU,2021-01-16 21:28:38,51.1167,133.0167,-18.49,87,100,0.94
79,Sao Paulo De Olivenca,BR,2021-01-16 21:28:38,-3.3783,-68.8725,81.57,93,85,2.57
80,Kavieng,PG,2021-01-16 21:28:38,-2.5744,150.7967,83.16,79,53,20.13
81,Karratha,AU,2021-01-16 21:28:38,-20.7377,116.8463,87.35,51,89,8.5
82,Kalmunai,LK,2021-01-16 21:28:38,7.4167,81.8167,76.42,83,89,3.27
83,Whitehorse,CA,2021-01-16 21:28:38,60.7161,-135.0538,24.8,86,75,19.57
84,Nouakchott,MR,2021-01-16 21:28:38,18.0858,-15.9785,73.4,7,99,8.05
85,Lata,PT,2021-01-16 21:28:38,40.1629,-8.3327,44.01,87,5,3.44
86,Jamestown,US,2021-01-16 21:27:38,42.097,-79.2353,34.0,86,90,9.22
87,Anloga,GH,2021-01-16 21:28:38,5.7947,0.8973,82.4,83,20,10.36
88,Clyde,US,2021-01-16 21:28:38,41.3042,-82.9752,32.0,80,90,12.66
89,Ribeira Grande,PT,2021-01-16 21:28:38,38.5167,-28.7,60.8,100,75,3.44
90,Am Timan,TD,2021-01-16 21:24:23,11.0297,20.2827,74.7,20,0,4.23
91,Mahebourg,MU,2021-01-16 21:28:38,-20.4081,57.7,78.8,94,75,11.5
92,Pantai Remis,MY,2021-01-16 21:28:39,4.4557,100.6288,78.01,94,40,1.14
93,Axim,GH,2021-01-16 21:28:39,4.8699,-2.2405,79.77,81,96,9.04
94,Luderitz,NA,2021-01-16 21:28:39,-26.6481,15.1594,66.04,71,0,16.69
95,Chokurdakh,RU,2021-01-16 21:28:39,70.6333,147.9167,-15.81,88,100,11.61
96,Tura,IN,2021-01-16 21:28:39,25.5198,90.2201,56.32,59,36,3.47
97,Marzuq,YE,2021-01-16 21:28:39,14.4,46.4667,58.41,54,0,2.28
98,Bluff,NZ,2021-01-16 21:28:39,-46.6,168.3333,70.0,50,100,15.01
99,Bambous Virieux,MU,2021-01-16 21:28:39,-20.3428,57.7575,80.01,94,75,11.5
100,Cherskiy,RU,2021-01-16 21:28:40,68.75,161.3,-20.42,87,100,4.38
101,Tasiilaq,GL,2021-01-16 21:28:40,65.6145,-37.6368,30.2,93,90,2.3
102,Anadyr,RU,2021-01-16 21:28:40,64.75,177.4833,-5.01,77,40,4.47
103,Clyde River,CA,2021-01-16 21:28:40,70.4692,-68.5914,1.4,92,90,10.36
104,Saskylakh,RU,2021-01-16 21:28:40,71.9167,114.0833,-16.04,87,100,7.34
105,Klaksvik,FO,2021-01-16 21:28:40,62.2266,-6.589,41.0,100,75,1.14
106,Santa Helena De Goias,BR,2021-01-16 21:28:40,-17.8136,-50.5969,77.95,81,62,5.82
107,Mar Del Plata,AR,2021-01-16 21:28:40,-38.0023,-57.5575,69.01,77,90,11.5
108,Misawa,JP,2021-01-16 21:28:40,40.6836,141.3597,28.99,57,0,8.01
109,Georgetown,MY,2021-01-16 21:28:40,5.4112,100.3354,80.01,88,40,3.98
110,Kargasok,RU,2021-01-16 21:28:40,59.0556,80.8572,7.32,95,100,8.99
111,Atherton,GB,2021-01-16 21:28:40,53.5237,-2.4935,45.0,76,99,4.0
112,Imbituba,BR,2021-01-16 21:28:40,-28.24,-48.6703,82.4,74,20,12.66
113,Tandil,AR,2021-01-16 21:24:15,-37.3217,-59.1332,64.99,76,100,10.0
114,Kutum,SD,2021-01-16 21:28:41,14.2,24.6667,57.04,28,0,6.98
115,Buraydah,SA,2021-01-16 21:28:41,26.326,43.975,59.0,77,20,3.44
116,Seoul,KR,2021-01-16 21:26:58,37.5683,126.9778,15.8,72,0,9.13
117,Kozhva,RU,2021-01-16 21:28:41,65.1073,57.0459,-13.11,89,82,7.96
118,Ratnagiri,IN,2021-01-16 21:28:41,16.9833,73.3,77.07,65,0,7.0
119,Santo Antonio Do Ica,BR,2021-01-16 21:28:41,-3.1022,-67.9397,84.16,83,71,0.16
120,Lydenburg,ZA,2021-01-16 21:28:41,-25.0978,30.4597,75.99,86,95,1.99
121,Samarai,PG,2021-01-16 21:28:41,-10.6167,150.6667,83.86,78,100,15.84
122,Cayenne,GF,2021-01-16 21:28:41,4.9333,-52.3333,80.6,74,75,10.36
123,Prescott,US,2021-01-16 21:26:43,34.54,-112.4685,66.2,13,1,9.22
124,Matiri,TZ,2021-01-16 21:28:42,-10.75,34.9,62.96,95,100,2.06
125,Dukat,RU,2021-01-16 21:28:42,62.55,155.55,-39.55,79,5,3.44
126,Sitka,US,2021-01-16 21:28:42,57.0531,-135.33,44.6,70,90,26.46
127,Upernavik,GL,2021-01-16 21:28:42,72.7868,-56.1549,10.44,87,0,7.74
128,Caravelas,BR,2021-01-16 21:28:42,-17.7125,-39.2481,78.12,78,36,8.3
129,Merauke,ID,2021-01-16 21:25:06,-8.4667,140.3333,78.3,90,100,8.52
130,Havoysund,NO,2021-01-16 21:28:42,70.9963,24.6622,33.8,93,75,11.5
131,Kabanjahe,ID,2021-01-16 21:28:42,3.1001,98.4908,75.2,100,40,1.57
132,Vardo,NO,2021-01-16 21:28:42,70.3705,31.1107,35.19,90,100,16.04
133,Isangel,VU,2021-01-16 21:28:42,-19.55,169.2667,84.2,84,75,15.39
134,Khani,GE,2021-01-16 21:28:42,41.9563,42.9566,48.2,66,90,14.97
135,Mopti,ML,2021-01-16 21:28:43,14.6667,-4.0,73.4,18,0,12.66
136,Alta Floresta,BR,2021-01-16 21:28:43,-9.8756,-56.0861,80.6,83,40,5.75
137,Banjar,ID,2021-01-16 21:28:43,-8.19,114.9675,78.8,89,40,5.75
138,Slave Lake,CA,2021-01-16 21:28:43,55.2834,-114.769,37.4,56,40,17.27
139,Havre-Saint-Pierre,CA,2021-01-16 21:28:43,50.2334,-63.5986,26.6,86,90,9.22
140,Izumo,JP,2021-01-16 21:28:43,35.3667,132.7667,41.0,65,75,12.66
141,Santa Fe,AR,2021-01-16 21:25:44,-31.6333,-60.7,82.78,58,100,10.31
142,Ostrovnoy,RU,2021-01-16 21:28:43,68.0531,39.5131,28.85,98,100,14.83
143,Bathsheba,BB,2021-01-16 21:28:43,13.2167,-59.5167,80.6,65,20,17.27
144,Souillac,MU,2021-01-16 21:28:43,-20.5167,57.5167,78.8,94,75,11.5
145,Wenling,CN,2021-01-16 21:28:43,28.3669,121.36,44.01,74,79,17.92
146,Bengkulu,ID,2021-01-16 21:28:43,-3.8004,102.2655,75.87,76,100,4.81
147,Aswan,EG,2021-01-16 21:28:44,24.0934,32.907,56.44,41,0,5.5
148,Bhabua,IN,2021-01-16 21:28:44,25.05,83.6167,51.31,66,1,1.74
149,Butaritari,KI,2021-01-16 21:28:44,3.0707,172.7902,80.91,75,50,20.92
